question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
when did the lion king start on broadway,"November 13, 1997","The Lion King started on Broadway in 1998, as mentioned in the context provided. However, the specific date for the Broadway production is not given; it only states that the show was produced in Minneapolis in 1997 and then moved to Broadway in 1998. The context also mentions that the West End production opened on October 19, 1999.",baseline,0.8206,False,0.6187,False,-1.0,naturalqs,qwen2.5
when did the lion king start on broadway,"November 13, 1997","I cannot find this information in the provided context. The given context does not specify when The Lion King started on Broadway. It only mentions that in September 2014, the musical became the top-earning title for both stage productions and films.",hcpc_v1,0.6883,False,0.6118,False,-1.0,naturalqs,qwen2.5
when did the lion king start on broadway,"November 13, 1997","The Lion King started on Broadway in 1998, as mentioned in the context provided. However, the specific date for the Broadway production is not given in the context; it only states that the show opened in the West End's Lyceum Theatre on October 19, 1999, and later moved to Broadway.",hcpc_v2,0.7202,False,0.6187,False,0.5966,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,"The key factor that allowed Hershey and Chase to determine that DNA, not protein, was the genetic material was the use of radioactive isotopes. Specifically, they used radioactive sulfur (S) to label the protein coats of the bacteriophages and radioactive phosphorus (P) to label the DNA. This allowed them to track whether the protein or DNA entered the bacterial cell during infection. The presence of almost all the radioactive S in the solution indicated that the protein coat stayed outside the cell, while the majority of the radioactive P was found inside the cell, showing that the DNA had entered and was incorporated into the bacterial cell's genetic material.",baseline,0.5324,False,0.4451,False,-1.0,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,I cannot find this information in the provided context. The given context does not specify a key factor that allowed Hershey and Chase to draw their conclusions. It only mentions that they concluded protein was not likely to be the hereditary genetic material and that little sulfur-containing material entered the bacterial cell.,hcpc_v1,0.5345,False,0.5633,False,-1.0,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,"The key factor that allowed Hershey and Chase to determine that DNA, not protein, was the genetic material was the use of radioactive isotopes. Specifically, they used radioactive sulfur (S) to label the protein coats of the bacteriophages and radioactive phosphorus (P) to label the DNA. This allowed them to track whether the protein or DNA entered the bacterial cell during infection. The presence of almost all the radioactive S in the solution indicated that the protein coat stayed outside the cell, while the majority of the radioactive P was found inside the cell, indicating that it had entered along with the DNA.",hcpc_v2,0.5542,False,0.4451,False,0.7138,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor","The observation that led to the theory of seafloor spreading was the discovery that oceanic crust is younger at mid-ocean ridges and older as it moves away from these ridges. This pattern of age distribution suggested that new crust was being created at the ridges and spreading outwards, which aligns with the concept of seafloor spreading.",baseline,0.6334,False,0.7342,False,-1.0,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor",The observation that led to the theory of seafloor spreading was the idea that the seafloor itself moves (and also carries the continents with it) as it expands from a central axis. This concept was proposed by Harry Hess from Princeton University in the 1960s.,hcpc_v1,0.713,False,0.7263,False,-1.0,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor","The observation that led to the theory of seafloor spreading was the discovery that the oceanic crust at mid-ocean ridges is youngest at the ridge crest and gets progressively older away from the ridge. This observation, combined with the idea that oceanic plates diverge at these ridges, suggested that new crust is formed and spreads outward, carrying the continents with it.",hcpc_v2,0.6594,False,0.7342,False,0.7988,naturalqs,qwen2.5
when was coffee first made into a drink,the 15th century,"The earliest credible evidence of either coffee drinking or knowledge of the coffee tree appears in the middle of the 15th century, in Yemen's Sufi monasteries. According to one legend, this practice began when a Yemenite Sufi mystic named Ghothul Akbar Nooruddin Abu al-Hasan al-Shadhili observed birds eating berries and experienced vitality after trying them. However, the context also notes that the story of how he discovered coffee is likely apocryphal as it first appeared in writing about 800 years after the supposed event.",baseline,0.4481,True,0.6192,False,-1.0,naturalqs,qwen2.5
when was coffee first made into a drink,the 15th century,"The earliest substantiated evidence of either coffee drinking or knowledge of the coffee tree is from the 15th century, as mentioned in the context. However, the exact year or date when coffee was first made into a drink is not provided. The context states that ""The roasted beans were quickly raked from the embers, ground up, and dissolved in hot water, yielding the world's first cup of coffee,"" but it does not specify when this occurred within the 15th century.",hcpc_v1,0.5118,False,0.6426,False,-1.0,naturalqs,qwen2.5
when was coffee first made into a drink,the 15th century,"The earliest credible evidence of either coffee drinking or knowledge of the coffee tree appears in the middle of the 15th century, in Yemen's Sufi monasteries. According to one legendary account, the Yemenite Sufi mystic Ghothul Akbar Nooruddin Abu al-Hasan al-Shadhili observed birds eating berries and experienced vitality after trying them, which might be related to the first consumption of coffee as a drink. However, it is noted that this story is highly likely to be apocryphal as it is not known to have appeared in writing before 1671, over 800 years after it was supposed to have taken place.",hcpc_v2,0.3946,True,0.6192,True,0.7628,naturalqs,qwen2.5
what is the term for circular movement around a central point,Coriolis effect,I cannot find this information in the provided context. The given context does not specifically mention the term for circular movement around a central point.,baseline,0.3302,True,0.4985,False,-1.0,naturalqs,qwen2.5
what is the term for circular movement around a central point,Coriolis effect,"I cannot find this information in the provided context. The context does not specifically mention the term for circular movement around a central point. However, it does discuss forces related to rotational motion such as Coriolis force and centrifugal force.",hcpc_v1,0.5683,False,0.5136,False,-1.0,naturalqs,qwen2.5
what is the term for circular movement around a central point,Coriolis effect,I cannot find this information in the provided context. The given context does not specifically mention the term for circular movement around a central point.,hcpc_v2,0.3302,True,0.4985,True,0.6863,naturalqs,qwen2.5
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry","The Punic Wars were named after the Latin word ""Punicus,"" meaning ""Carthaginian,"" with reference to the Carthaginians' Phoenician ancestry.",baseline,0.8064,False,0.7913,False,-1.0,naturalqs,qwen2.5
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry","The Punic Wars were named after the Latin word ""Punicus,"" meaning ""Carthaginian,"" with reference to the Carthaginians' Phoenician ancestry.",hcpc_v1,0.8064,False,0.7913,False,-1.0,naturalqs,qwen2.5
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry","The Punic Wars were named after the Latin word ""Punicus,"" meaning ""Carthaginian,"" with reference to the Carthaginians' Phoenician ancestry.",hcpc_v2,0.8064,False,0.7913,False,0.783,naturalqs,qwen2.5
what is a e8 in the marine corps,Master sergeant,"E-8 in the Marine Corps refers to an enlisted rank, specifically one of the two ranks at that pay grade. The E-8 level includes two ranks each with different responsibilities: Sergeant Major and Master Gunnery Sergeant.",baseline,0.8128,False,0.4311,False,-1.0,naturalqs,qwen2.5
what is a e8 in the marine corps,Master sergeant,"Based on the provided context, an E-8 in the Marine Corps has two ranks per pay grade. Each rank within this pay grade may have different responsibilities. However, specific details about the roles and insignia of E-8 are not provided in the given context.",hcpc_v1,0.594,False,0.4982,False,-1.0,naturalqs,qwen2.5
what is a e8 in the marine corps,Master sergeant,"E-8 in the Marine Corps refers to an enlisted rank level that includes two specific ranks with different responsibilities. The exact titles for E-8 are not provided in this context, but it mentions that at the E-8 and E-9 levels, each has two ranks per pay grade, each with different responsibilities.",hcpc_v2,0.7092,False,0.4311,True,0.615,naturalqs,qwen2.5
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor,The processor for the Google Nexus 5 is a 2.26 GHz quad-core Snapdragon 800 processor.,baseline,0.6653,False,0.5551,False,-1.0,naturalqs,qwen2.5
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.584,False,-1.0,naturalqs,qwen2.5
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor,The processor for the Google Nexus 5 is a 2.26 GHz quad-core Snapdragon 800 processor.,hcpc_v2,0.6653,False,0.5551,True,0.6279,naturalqs,qwen2.5
when was the land rover defender first built,in the 1980s,"The Land Rover Defender, originally known as the Land Rover 110, was first built in 1983.",baseline,0.7609,False,0.7109,False,-1.0,naturalqs,qwen2.5
when was the land rover defender first built,in the 1980s,"The Land Rover Defender, originally known as the Land Rover 110, began in 1983.",hcpc_v1,0.7631,False,0.713,False,-1.0,naturalqs,qwen2.5
when was the land rover defender first built,in the 1980s,"The Land Rover Defender, originally known as the Land Rover 110, was first built in 1983.",hcpc_v2,0.7609,False,0.7109,False,0.6124,naturalqs,qwen2.5
who played joey's agent estelle on friends,June Gable,June Gable played Joey's agent Estelle Leonard on the NBC sitcom Friends.,baseline,0.8069,False,0.5801,False,-1.0,naturalqs,qwen2.5
who played joey's agent estelle on friends,June Gable,June Gable played Joey's agent Estelle Leonard on Friends from 1994 to 2004.,hcpc_v1,0.7643,False,0.6576,False,-1.0,naturalqs,qwen2.5
who played joey's agent estelle on friends,June Gable,June Gable played Joey's agent Estelle Leonard on the NBC sitcom Friends.,hcpc_v2,0.8069,False,0.5801,True,0.3019,naturalqs,qwen2.5
who is the original singer of i write sins not tragedies,Panic! at the Disco,"The original singer of ""I Write Sins Not Tragedies"" is Panic! at the Disco.",baseline,0.7521,False,0.796,False,-1.0,naturalqs,qwen2.5
who is the original singer of i write sins not tragedies,Panic! at the Disco,"The original singer of ""I Write Sins Not Tragedies"" is Brendon Urie from the band Panic! at the Disco.",hcpc_v1,0.5513,False,0.7824,False,-1.0,naturalqs,qwen2.5
who is the original singer of i write sins not tragedies,Panic! at the Disco,"The original singer of ""I Write Sins Not Tragedies"" is Panic! at the Disco.",hcpc_v2,0.7521,False,0.796,False,0.5669,naturalqs,qwen2.5
what is the main mineral in lithium batteries,lithium,"I cannot find this information in the provided context. The context mentions that lithium is used in lithium batteries, but it does not specify the main mineral found in lithium batteries.",baseline,0.6613,False,0.6497,False,-1.0,naturalqs,qwen2.5
what is the main mineral in lithium batteries,lithium,"I cannot find this information in the provided context. The context mentions that lithium batteries are one of the applications of lithium, but it does not specify the main mineral in lithium batteries.",hcpc_v1,0.6212,False,0.66,False,-1.0,naturalqs,qwen2.5
what is the main mineral in lithium batteries,lithium,"I cannot find this information in the provided context. The context mentions that lithium is used in lithium batteries, but it does not specify the main mineral found in lithium batteries.",hcpc_v2,0.6613,False,0.6497,True,0.6438,naturalqs,qwen2.5
what was the name of the plant on little shop of horrors,Audrey II,"The plant in Little Shop of Horrors is named Audrey II. This information, however, is not directly stated in the provided context. Given the details about the Venus flytrap speaking and other contextual clues, it can be inferred that Audrey II is the plant in question, but it is not explicitly named as such in the given text.",baseline,0.6947,False,0.6955,False,-1.0,naturalqs,qwen2.5
what was the name of the plant on little shop of horrors,Audrey II,I cannot find this information in the provided context. The given context does not mention the name of the plant in Little Shop of Horrors.,hcpc_v1,0.6466,False,0.6723,False,-1.0,naturalqs,qwen2.5
what was the name of the plant on little shop of horrors,Audrey II,"The plant in Little Shop of Horrors is named Audrey II. This information, however, is not directly stated in the provided context. Based on the details given about the plot and background, we can infer that the speaking Venus flytrap is likely Audrey II, but for an exact answer, we would need more specific information from a source that explicitly names the plant.",hcpc_v2,0.604,False,0.6955,True,0.6874,naturalqs,qwen2.5
where do they drop in game of games,a chute beneath his or her feet,I cannot find this information in the provided context.,baseline,0.5531,False,0.3477,False,-1.0,naturalqs,qwen2.5
where do they drop in game of games,a chute beneath his or her feet,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.367,False,-1.0,naturalqs,qwen2.5
where do they drop in game of games,a chute beneath his or her feet,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.3477,True,0.0997,naturalqs,qwen2.5
when did the movie karate kid come out,2010,"The context mentions that Jaden Smith starred in the 2010 remake of The Karate Kid alongside Jackie Chan. However, it does not provide the specific release year of the movie. Therefore, I cannot find this information in the provided context.",baseline,0.7112,False,0.4156,False,-1.0,naturalqs,qwen2.5
when did the movie karate kid come out,2010,I cannot find this information in the provided context. The context mentions the 2010 remake of The Karate Kid but does not specify the release year.,hcpc_v1,0.5484,False,0.5558,False,-1.0,naturalqs,qwen2.5
