condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
hcpc_v2,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.8579,False,192.296,1400.978,1593.275,,squad,mistral,7.914,163.862
crag,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,51.866,867.753,919.619,,squad,mistral,7.914,163.862
raptor_2l,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,9.269,1247.183,1256.452,,squad,mistral,7.914,163.862
selfrag,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,the N FL ' s 1 9 – 1 5 se asons .  </s>,0.5188,False,0.0,138054.816,138054.816,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,0.813,False,72.629,789.894,862.524,,squad,mistral,7.914,163.862
crag,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,35.417,851.168,886.586,,squad,mistral,7.914,163.862
raptor_2l,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,8.321,1377.964,1386.285,,squad,mistral,7.914,163.862
selfrag,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Pa ht he g ames w ere play ed  </s>,0.8561,False,0.0,3555.675,3555.675,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False,31.064,944.689,975.753,,squad,mistral,7.914,163.862
crag,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False,47.1,948.295,995.394,,squad,mistral,7.914,163.862
raptor_2l,Where did Super Bowl 50 take place?,"Santa Clara, California"," Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9516,False,8.192,1338.998,1347.19,,squad,mistral,7.914,163.862
selfrag,Where did Super Bowl 50 take place?,"Santa Clara, California","The N FL ann ounced on M arch 1 8 , 2 0 1 5 , that the 5 0 th Su per B ow l w ould be h eld at Le vi ' s St ad ium .   </s>",0.4586,True,0.0,8349.287,8349.287,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,30.513,723.176,753.689,,squad,mistral,7.914,163.862
crag,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,45.914,684.404,730.318,,squad,mistral,7.914,163.862
raptor_2l,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,7.733,1109.456,1117.188,,squad,mistral,7.914,163.862
selfrag,Which NFL team won Super Bowl 50?,Denver Broncos,"Th es u ccess es w ere over shadow ed by Den ver ' s in ability to con ver th re ed on third down , as well as New ton ' s in ability to av oid s acks and th re ed own s .  </s>",0.2973,True,0.0,9471.949,9471.949,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,47.954,337.313,385.267,,squad,mistral,7.914,163.862
crag,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,35.041,302.636,337.677,,squad,mistral,7.914,163.862
raptor_2l,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,8.625,807.913,816.538,,squad,mistral,7.914,163.862
selfrag,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The 5 0 th Su per B ow l w ould be a  </s>,0.3886,True,0.0,3487.658,3487.658,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention any specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",0.7738,False,45.013,1343.599,1388.611,,squad,mistral,7.914,163.862
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,False,40.697,1542.695,1583.392,,squad,mistral,7.914,163.862
raptor_2l,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was ""Golden Anniversary"".",0.8925,False,7.099,1209.68,1216.78,,squad,mistral,7.914,163.862
selfrag,What was the theme of Super Bowl 50?,"""golden anniversary""","The N FL also ann ounced that the 5 0 th Su per B ow l w ould be play ed on F ebru ary 7 , 2 0 1 6 , at Le vi ' s St ad ium in San Fran cis co B ay Area at San T a Cl ara , Cal iforn ia . As this was the 5 0 th Su per B ow l , the le ague emph as ized the "" g old en ann ivers ary "" with vari ous g old - th emed mit ia v tes , as well as  </s>",0.3806,True,0.0,18262.561,18262.561,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What day was the game played on?,"February 7, 2016"," The game was played on February 1, 2016.",0.884,False,52.197,1137.141,1189.338,,squad,mistral,7.914,163.862
crag,What day was the game played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date when Super Bowl Opening Night was held, but it does not specify the date of the actual game.",0.7623,False,25.559,1233.881,1259.44,,squad,mistral,7.914,163.862
raptor_2l,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,8.288,1153.931,1162.22,,squad,mistral,7.914,163.862
selfrag,What day was the game played on?,"February 7, 2016",The  </s>,1.0,False,0.0,1905.324,1905.324,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,False,49.487,1319.335,1368.821,,squad,mistral,7.914,163.862
crag,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,False,16.984,978.674,995.658,,squad,mistral,7.914,163.862
raptor_2l,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",0.6259,False,7.734,1361.836,1369.57,,squad,mistral,7.914,163.862
selfrag,What is the AFC short for?,American Football Conference,The New Eng land Pat ri ots w ere led to a 6 – 0 in Su per B ow l X LI X .  </s>,0.4372,True,0.0,5437.539,5437.539,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention any specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",0.7738,False,44.311,1430.303,1474.614,,squad,mistral,7.914,163.862
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,False,42.975,1435.55,1478.525,,squad,mistral,7.914,163.862
raptor_2l,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was ""Golden Anniversary"".",0.8925,False,8.219,1140.107,1148.326,,squad,mistral,7.914,163.862
selfrag,What was the theme of Super Bowl 50?,"""golden anniversary""","The N FL also ann ounced that the 5 0 th Su per B ow l w ould be play ed on F ebru ary 7 , 2 0 1 6 , at Le vi ' s St ad ium in San Fran cis co B ay Area at San T a Cl ara , Cal iforn ia . As this was the 5 0 th Su per B ow l , the le ague emph as ized the "" g old en ann ivers ary "" with vari ous g old - th emed mit ia v tes , as well as  </s>",0.3806,True,0.0,18189.758,18189.758,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,45.371,682.408,727.779,,squad,mistral,7.914,163.862
crag,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,18.798,356.654,375.452,,squad,mistral,7.914,163.862
raptor_2l,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,7.943,612.496,620.439,,squad,mistral,7.914,163.862
selfrag,What does AFC stand for?,American Football Conference,"The Br ons cos w ere led by the ir def ense , wh il st the off ense cont in ued to have problem s .  </s>",0.2769,True,0.0,5714.932,5714.932,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,28.807,1012.849,1041.656,,squad,mistral,7.914,163.862
crag,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,42.203,724.041,766.244,,squad,mistral,7.914,163.862
raptor_2l,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,8.115,1130.746,1138.861,,squad,mistral,7.914,163.862
selfrag,What day was the Super Bowl played on?,"February 7, 2016","The Su per B ow l X L V II was pl ay ed on J anu ary 1 7 , 2 0 1 2 , at H ou ston ' s R eli ant St ad ium .   </s>",0.4169,True,0.0,7999.412,7999.412,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,45.996,898.854,944.85,,squad,mistral,7.914,163.862
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,34.074,545.064,579.138,,squad,mistral,7.914,163.862
raptor_2l,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,8.052,1007.59,1015.642,,squad,mistral,7.914,163.862
selfrag,Who won Super Bowl 50?,Denver Broncos,The Pat ri ots w ere a ward ed  the ir th ird Su per B ow l title .  </s>,0.6112,False,0.0,5124.522,5124.522,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,51.366,1094.934,1146.3,,squad,mistral,7.914,163.862
crag,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,44.716,780.414,825.13,,squad,mistral,7.914,163.862
raptor_2l,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",0.793,False,8.121,952.736,960.857,,squad,mistral,7.914,163.862
selfrag,What venue did Super Bowl 50 take place in?,Levi's Stadium,"The San Fran cis co B ay Area is al so home o ft he N FL ' s San Fran cis co 4 9 ers , N BA , and the G old en State W ar riors o ft he N BA , and the San Jose Sh arks o ft he N HL .  </s>",0.3391,True,0.0,11628.365,11628.365,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,50.29,1202.208,1252.497,,squad,mistral,7.914,163.862
